729	714	783	825	1058	1416	1389	
694	748	775	937	1135	981	573	
700	714	832	954	792	493	413	
934	1069	1214	1156	1079	1332	2251	
1234	1383	1371	1366	1630	2239	2227	
1402	1396	1397	1603	2000	1874	1521	
1291	1275	1415	1666	1471	1093	666	
1242	1353	1541	1364	1076	854	1042	
1309	1458	1300	1068	917	1043	1044	
1324	1169	957	817	867	779	515	
1023	823	683	687	569	332	148	
726	593	579	463	269	146	144	
560	542	442	292	217	252	360	
569	490	379	345	410	543	727	
